net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Dorpsstraat,7468CP,7471AA,ENTER,19,89.47,94.74,89,1x35,4037,89.47,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AB,7471AB,GOOR,40,100.0,97.5,80,1x35,2642,95.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AC,7471AC,GOOR,16,100.0,100.0,100,1x35,1313,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AD,7471AE,GOOR,41,92.68,85.37,54,3x25,6405,92.68,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AG,7471AG,GOOR,14,85.71,100.0,36,3x25,4742,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AH,7471AH,GOOR,20,85.0,100.0,50,1x35,4924,95.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AJ,7471AJ,GOOR,11,90.91,100.0,64,3x25,3084,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AK,7471AK,GOOR,21,90.48,85.71,38,1x35,5795,85.71,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AL,7471AL,GOOR,12,100.0,100.0,67,1x35,4309,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AM,7471AN,GOOR,17,88.24,94.12,53,3x25,7845,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Stationslaan,7471AP,7471AP,GOOR,18,94.44,100.0,56,1x35,7512,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Waterstraat,7471AR,7471AR,GOOR,68,88.24,100.0,91,1x35,3093,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AS,7471AS,GOOR,34,91.18,97.06,59,1x35,3366,94.12,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AT,7471AT,GOOR,20,100.0,100.0,50,1x35,3625,95.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AV,7471AV,GOOR,29,100.0,93.1,83,1x35,2987,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Irisstraat,7471AW,7471AW,GOOR,19,57.89,100.0,53,1x35,2971,94.74,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,De Braak,7471AX,7471AZ,GOOR,20,90.0,100.0,55,3x25,9708,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BA,7471BA,GOOR,35,77.14,100.0,43,1x35,3624,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BB,7471BB,GOOR,24,87.5,100.0,46,1x35,2643,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Kloosterlaan,7471BC,7471BC,GOOR,20,85.0,100.0,40,3x25,4703,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Buitenhagen,7471BD,7471BD,GOOR,38,78.95,100.0,79,3x25,4636,97.37,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BE,7471BE,GOOR,24,91.67,100.0,46,1x35,4780,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BG,7471BH,GOOR,27,88.89,100.0,63,1x35,5224,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BJ,7471BJ,GOOR,22,86.36,100.0,59,1x35,4506,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BK,7471BK,GOOR,25,96.0,100.0,44,1x35,6406,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BL,7471BL,GOOR,32,100.0,100.0,47,3x25,11394,87.5,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BM,7471BM,GOOR,18,94.44,88.89,50,1x35,9019,77.78,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BN,7471BN,GOOR,34,100.0,97.06,56,1x35,5732,94.12,2.94
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BP,7471BP,GOOR,12,83.33,100.0,50,3x25,9466,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BR,7471BR,GOOR,25,100.0,100.0,48,3x25,17788,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BS,7471BS,GOOR,19,89.47,89.47,53,3x25,13626,94.74,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Possestraat,7471BT,7471BV,GOOR,22,100.0,100.0,41,1x35,3686,95.45,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Spoorstraat,7471BW,7471BW,GOOR,31,93.55,100.0,58,1x35,5282,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Voorstraat,7471BX,7471BZ,GOOR,25,96.0,100.0,72,1x35,6359,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CA,7471CA,GOOR,16,93.75,93.75,31,1x35,9879,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CB,7471CB,GOOR,12,100.0,100.0,67,1x35,3539,66.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CC,7471CC,GOOR,12,91.67,100.0,42,3x25,4415,91.67,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CD,7471CE,GOOR,19,89.47,84.21,42,1x35,3425,94.74,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Hengevelderstraat,7471CG,7471CH,GOOR,23,95.65,100.0,39,1x35,10298,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CJ,7471CJ,GOOR,23,95.65,100.0,43,1x25,2958,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CK,7471CK,GOOR,11,81.82,100.0,45,1x35,3857,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CL,7471CL,GOOR,21,95.24,100.0,67,3x25,2607,95.24,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CM,7471CM,GOOR,15,86.67,100.0,53,1x35,3302,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Korte Dijk,7471CN,7471CN,GOOR,20,80.0,100.0,60,1x35,4367,100.0,0.0
Cogas Infra & Beheer BV,Netbeheerder Centraal Overijssel B.V.,Middenstraat,7471CP,7471CR,GOOR,52,90.38,96.15,56,1x35,2249,88.46,0.0
