net_manager,purchase_area,street,zipcode_from,zipcode_to,city,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,num_connections
westland-infra,871687800090000015,OOSTEINDE,2291AA,2291AD,WATERINGEN,94.44,100.0,100,67,3x25,10244,94.44,0,18
westland-infra,871687800090000015,OOSTEINDE,2291AE,2291AE,WATERINGEN,100.0,100.0,100,92,3x25,3977,84.62,0,13
westland-infra,871687800090000015,WATERPARK,2291AK,2291AK,WATERINGEN,96.43,89.29,100,61,1x35,3794,100.0,0,28
westland-infra,871687800090000015,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,100.0,100.0,100,91,3x25,7659,95.65,0,23
westland-infra,871687800090000015,KWAKLAAN,2291AV,2291AV,WATERINGEN,100.0,100.0,100,93,3x25,3520,100.0,0,15
westland-infra,871687800090000015,VLOTLAAN,2291AW,2291AX,WATERINGEN,100.0,100.0,100,81,3x25,2370,70.37,0,27
westland-infra,871687800090000015,HERENSTRAAT,2291BB,2291BB,WATERINGEN,100.0,100.0,100,75,3x25,13334,100.0,0,28
westland-infra,871687800090000015,HERENSTRAAT,2291BC,2291BC,WATERINGEN,100.0,100.0,100,75,3x25,13107,91.67,0,12
westland-infra,871687800090000015,HERENSTRAAT,2291BE,2291BG,WATERINGEN,100.0,100.0,100,53,3x25,22459,86.67,0,15
westland-infra,871687800090000015,HERENSTRAAT,2291BH,2291BH,WATERINGEN,100.0,100.0,100,63,3x25,15624,73.68,0,19
westland-infra,871687800090000015,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,100.0,100.0,100,76,3x25,12109,92.0,0,25
westland-infra,871687800090000015,HERENSTRAAT,2291BL,2291BR,WATERINGEN,97.67,100.0,100,93,3x25,5796,88.37,0,43
westland-infra,871687800090000015,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,100.0,100.0,100,79,3x25,4060,100.0,0,19
westland-infra,871687800090000015,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,100.0,100.0,100,94,3x25,2651,100.0,0,17
westland-infra,871687800090000015,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,100.0,100.0,100,100,3x25,2695,94.12,0,17
westland-infra,871687800090000015,HEULWEG,2291BW,2291BW,WATERINGEN,91.67,100.0,100,83,3x25,8370,83.33,0,12
westland-infra,871687800090000015,HEULWEG,2291BX,2291BZ,WATERINGEN,90.0,100.0,100,70,3x25,6434,100.0,0,20
westland-infra,871687800090000015,PLEIN,2291CA,2291CA,WATERINGEN,100.0,100.0,100,47,3x25,21572,94.74,0,19
westland-infra,871687800090000015,PLEIN,2291CB,2291CB,WATERINGEN,100.0,100.0,100,100,3x25,2720,100.0,0,12
westland-infra,871687800090000015,PLEIN,2291CC,2291CC,WATERINGEN,97.78,100.0,100,78,3x25,13952,97.78,0,45
westland-infra,871687800090000015,KERKLAAN,2291CD,2291CD,WATERINGEN,91.67,100.0,100,88,3x25,6980,100.0,0,24
westland-infra,871687800090000015,KERKLAAN,2291CE,2291CE,WATERINGEN,100.0,100.0,100,95,3x25,7391,100.0,0,22
westland-infra,871687800090000015,KERKLAAN,2291CG,2291CG,WATERINGEN,93.33,100.0,100,100,3x25,6394,93.33,0,15
westland-infra,871687800090000015,KERKLAAN,2291CH,2291CH,WATERINGEN,100.0,100.0,100,86,3x25,5234,76.19,0,21
westland-infra,871687800090000015,KERKLAAN,2291CJ,2291CL,WATERINGEN,100.0,100.0,100,87,3x25,5401,100.0,0,30
westland-infra,871687800090000015,HOFZICHT,2291CM,2291CM,WATERINGEN,100.0,100.0,100,87,3x25,2936,93.33,0,15
westland-infra,871687800090000015,HOFZICHT,2291CN,2291CN,WATERINGEN,100.0,100.0,100,100,3x25,3181,100.0,0,15
westland-infra,871687800090000015,HOFZICHT,2291CP,2291CP,WATERINGEN,100.0,100.0,100,100,3x25,3422,100.0,0,17
westland-infra,871687800090000015,HOFWIJK,2291CR,2291CR,WATERINGEN,92.31,100.0,100,92,3x25,3363,100.0,0,13
westland-infra,871687800090000015,HOFWIJK,2291CS,2291CS,WATERINGEN,100.0,100.0,100,100,3x25,3069,100.0,0,14
westland-infra,871687800090000015,HOFPARK,2291CT,2291CV,WATERINGEN,100.0,100.0,100,94,3x25,2931,100.0,0,17
westland-infra,871687800090000015,GANTELPLEIN,2291CW,2291CZ,WATERINGEN,100.0,100.0,100,62,1x35,3182,100.0,0,29
westland-infra,871687800090000015,VLEERSTEEG,2291DA,2291DB,WATERINGEN,100.0,100.0,100,86,3x25,3854,34.48,0,29
westland-infra,871687800090000015,BAKKERSHOF,2291DD,2291DD,WATERINGEN,100.0,100.0,100,94,3x25,2019,100.0,0,34
