net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Margrietstraat,4175GA,7165BD,HAAFTEN,18,100.0,83.33,78,G4,3457,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Oude Deldenseweg,7165BG,7216PN,RIETMOLEN,17,100.0,100.0,76,G4,4036,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Wippertdijk,7216PP,7245TG,KRING VAN DORTH,117,100.0,100.0,71,G4,3695,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Warfveendijk,7245TH,7245TP,LAREN GLD,26,100.0,100.0,62,G4,3307,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Kielersdijk,7245TS,7275AZ,LAREN GLD,81,100.0,97.53,78,G4,2306,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Goordijk,7275CA,7451NB,GELSELAAR,27,100.0,92.59,52,G4,3420,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Beusebergerweg,7451NE,7451RP,HOLTEN,25,100.0,100.0,76,G4,3950,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Meutgeertsweg,7451SC,7462PG,HOLTEN,39,100.0,100.0,72,G4,3685,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Holterstraatweg,7462PM,7462PN,RIJSSEN,17,100.0,100.0,94,G4,2485,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Leiding,7462PS,7462PT,RIJSSEN,20,100.0,100.0,90,G4,2488,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Ligtenbergerdijk,7462PW,7466PG,RIJSSEN,61,100.0,100.0,80,G4,3072,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Morsweg,7466PH,7466PJ,ZUNA,17,100.0,100.0,88,G4,2656,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Provincialeweg Zuna,7466PK,7466PN,ZUNA,30,100.0,96.67,77,G4,3459,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Zunaweg,7466PP,7467PA,ZUNA,23,100.0,100.0,78,G4,2423,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Klokkendijk,7467PB,7467PB,NOTTER,12,100.0,100.0,75,G4,2286,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Klokkendijk,7467PC,7467PD,NOTTER,19,100.0,94.74,89,G4,2464,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Klokkendijk,7467PE,7467PE,NOTTER,10,100.0,90.0,80,G4,4613,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Blokdijk,7467PG,7467PH,NOTTER,19,100.0,89.47,79,G4,2494,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Ireneweg,7467PJ,7467PL,NOTTER,20,100.0,100.0,90,G4,3279,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Zunaweg,7467PM,7467PN,NOTTER,20,100.0,90.0,75,G4,3498,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Schapendijk,7467PP,7468AA,NOTTER,46,100.0,100.0,78,G4,2620,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Rijssenseweg,7468AB,7468AB,ENTER,22,100.0,95.45,77,G4,2344,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Rijssenseweg,7468AC,7468AC,ENTER,17,100.0,94.12,88,G4,1973,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Rijssenseweg,7468AD,7468AD,ENTER,20,100.0,100.0,90,G4,2567,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Rijssenseweg,7468AE,7468AG,ENTER,20,100.0,100.0,65,G4,3210,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Mettenkampsweg,7468AH,7468AH,ENTER,10,100.0,90.0,80,G4,2788,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Baanakkersweg,7468AJ,7468AK,ENTER,21,100.0,100.0,86,G4,1790,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Disselsweg,7468AL,7468AL,ENTER,20,100.0,100.0,100,G4,1961,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Disselsweg,7468AM,7468AM,ENTER,31,100.0,100.0,97,G4,1354,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Margrietlaan,7468AN,7468AN,ENTER,11,100.0,100.0,91,G4,2819,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Boerdijk,7468AP,7468AP,ENTER,15,100.0,100.0,93,G4,2039,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Boerdijk,7468AR,7468AR,ENTER,17,100.0,100.0,88,G4,1903,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Stationsweg,7468AS,7468AS,ENTER,14,100.0,92.86,79,G4,4533,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Stationsweg,7468AT,7468AT,ENTER,26,100.0,100.0,96,G4,1962,0.0,0.0
Coteq Netbeheer BV,GAS Gastransport Services (GASUNIE),Marijkelaan,7468AV,7468AV,ENTER,15,100.0,100.0,93,G4,1887,0.0,0.0
