net_manager,purchase_area,street,zipcode_from,zipcode_to,city,delivery_perc,perc_of_active_connections,%Defintieve aansl (NRM),type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,num_connections
westland-infra,871718518003006694,OOSTEINDE,2291AA,2291AE,WATERINGEN,100.0,100.0,100,74,G4,2738,0.0,0,27
westland-infra,871718518003006694,WATERPARK,2291AK,2291AK,WATERINGEN,100.0,91.3,100,100,G4,1574,0.0,0,23
westland-infra,871718518003006694,DRUIVENLAAN,2291AN,2291AT,WATERINGEN,100.0,100.0,100,73,G4,2646,0.0,0,22
westland-infra,871718518003006694,KWAKLAAN,2291AV,2291AV,WATERINGEN,100.0,100.0,100,93,G4,1676,0.0,0,15
westland-infra,871718518003006694,VLOTLAAN,2291AW,2291AX,WATERINGEN,100.0,100.0,100,96,G4,1074,0.0,0,26
westland-infra,871718518003006694,HERENSTRAAT,2291BB,2291BB,WATERINGEN,100.0,100.0,100,75,G4,1972,0.0,0,24
westland-infra,871718518003006694,HERENSTRAAT,2291BC,2291BC,WATERINGEN,100.0,100.0,100,67,G4,2747,0.0,0,12
westland-infra,871718518003006694,HERENSTRAAT,2291BE,2291BG,WATERINGEN,100.0,100.0,100,73,G4,4937,0.0,0,15
westland-infra,871718518003006694,HERENSTRAAT,2291BH,2291BH,WATERINGEN,100.0,100.0,100,79,G4,3015,0.0,0,19
westland-infra,871718518003006694,HERENSTRAAT,2291BJ,2291BK,WATERINGEN,100.0,100.0,100,68,G4,2981,0.0,0,25
westland-infra,871718518003006694,HERENSTRAAT,2291BL,2291BR,WATERINGEN,100.0,100.0,100,90,G4,2690,0.0,0,39
westland-infra,871718518003006694,ARKPAVILJOEN,2291BS,2291BS,WATERINGEN,100.0,100.0,100,100,G4,1100,0.0,0,17
westland-infra,871718518003006694,ARKPAVILJOEN,2291BT,2291BT,WATERINGEN,100.0,100.0,100,100,G4,963,0.0,0,17
westland-infra,871718518003006694,ARKPAVILJOEN,2291BV,2291BV,WATERINGEN,100.0,100.0,100,100,G4,1098,0.0,0,17
westland-infra,871718518003006694,HEULWEG,2291BW,2291BZ,WATERINGEN,100.0,100.0,100,61,G4,4426,0.0,0,28
westland-infra,871718518003006694,PLEIN,2291CA,2291CB,WATERINGEN,100.0,100.0,100,75,G4,3216,0.0,0,20
westland-infra,871718518003006694,PLEIN,2291CC,2291CC,WATERINGEN,100.0,100.0,100,85,G4,1610,0.0,0,41
westland-infra,871718518003006694,KERKLAAN,2291CD,2291CD,WATERINGEN,100.0,100.0,100,88,G4,2579,0.0,0,24
westland-infra,871718518003006694,KERKLAAN,2291CE,2291CE,WATERINGEN,100.0,100.0,100,67,G4,2900,0.0,0,21
westland-infra,871718518003006694,KERKLAAN,2291CG,2291CG,WATERINGEN,100.0,100.0,100,80,G4,2159,0.0,0,15
westland-infra,871718518003006694,KERKLAAN,2291CH,2291CH,WATERINGEN,100.0,100.0,100,95,G4,1559,0.0,0,19
westland-infra,871718518003006694,KERKLAAN,2291CJ,2291CL,WATERINGEN,100.0,96.77,100,81,G4,2067,0.0,0,31
westland-infra,871718518003006694,HOFZICHT,2291CM,2291CM,WATERINGEN,100.0,100.0,100,100,G4,1706,0.0,0,14
westland-infra,871718518003006694,HOFZICHT,2291CN,2291CN,WATERINGEN,100.0,100.0,100,93,G4,1923,0.0,0,15
